Name                                         Stars  OpenIssues  Updated                      Description
jose-elias-alvarez/typescript.nvim           484    15          2023-06-28T22:41:44Z         A Lua plugin, written in TypeScript, to write TypeScript (Lua optional).                                                                                                                                                           
stevearc/overseer.nvim                       481    11          2023-07-11T15:50:12Z         A task runner and job management plugin for Neovim
uga-rosa/ccc.nvim                            475    1           2023-06-12T16:36:15Z         Color picker and highlighter plugin for Neovim.                                                                                                                                                                                    
SmiteshP/nvim-navbuddy                       470    12          2023-07-05T15:10:44Z         A simple popup display that provides breadcrumbs feature using LSP server
b0o/SchemaStore.nvim                         466    2           2023-07-12T17:00:47Z         🛍 JSON schemas for Neovim
gbprod/yanky.nvim                            461    8           2023-06-21T11:23:08Z         Improved Yank and Put functionalities for Neovim
Mofiqul/vscode.nvim                          459    30          2023-06-30T13:36:16Z         Neovim/Vim color scheme inspired by Dark+ and Light+ theme in Visual Studio Code
lukas-reineke/lsp-format.nvim                458    14          2022-11-25T03:02:14Z         A wrapper around Neovims native LSP formatting.                                                                                                                                                                                    
utilyre/barbecue.nvim                        455    2           2023-04-28T15:55:15Z         A VS Code like winbar for Neovim
jbyuki/nabla.nvim                            453    2           2023-04-22T20:23:23Z         take your scientific notes :pencil2: in Neovim
mrjones2014/smart-splits.nvim                452    5           2023-06-26T11:32:32Z         🧠 Smart, seamless, directional navigation and resizing of Neovim + terminal multiplexer splits. Supports tmux, Wezterm, and Kitty. Think about splits in terms of "up/down/left/right".                                            
nacro90/numb.nvim                            449    1           2023-03-04T19:28:20Z         Peek lines just when you intend
jakewvincent/mkdnflow.nvim                   444    27          2023-07-05T02:47:53Z         Fluent navigation and management of markdown notebooks
savq/melange-nvim                            444    6           2023-07-09T23:08:56Z         🗡️ Warm color scheme for Neovim and beyond
mcchrish/zenbones.nvim                       440    8           2023-07-02T11:48:39Z         🪨 A collection of contrast-based Vim/Neovim colorschemes
aserowy/tmux.nvim                            438    11          2023-05-29T05:59:25Z         tmux integration for nvim features pane movement and resizing from within nvim.                                                                                                                                                    
